company,label,address,lat,lng
https://collection.rcgs.jp/resource/AGENT0003942,TimeGate Studios. 1998-2013,"Southwest Freeway, Ste 200, Sugar Land, TX, United States",29.606195,-95.616628
https://collection.rcgs.jp/resource/AGENT0004204,War Drum Studios,"Gainesville, FL",29.651634,-82.324826
https://collection.rcgs.jp/resource/AGENT0000113,"GHI Media, LLC. 2009-","Austin, Texas, United States",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0001188,Iguana Entertainment. 1991-2004,"Austin, Texas, United States",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0001341,"Armature Studio, LLC. 2008-","Austin, Texas, United States",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0001451,Aspyr. 1996-,"Austin, Texas, U.S.",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0001571,Versus Evil LLC,"Austin, Texas, United States",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0002896,ORIGIN Systems. 1983-2004,"Austin, Texas, U.S.",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0004011,Retro Studio. 1998-,"Austin, Texas, U.S",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0004099,Ion Storm. 1996-,"Austin, Texas, U.S.",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0004121,Edge of Reality. 1998-2017,"Austin, Texas, United States",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0004196,Bluepoint Games. 2006-,"Austin, Texas, United States",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0004210,Certain Affinity. 2006-,"Austin, Texas, U.S.",30.267153,-97.743061
https://collection.rcgs.jp/resource/AGENT0005924,パーフェクトワールド. 2004-,"Huzhou, China",30.89441,120.086809
https://collection.rcgs.jp/resource/AGENT0001023,Ubisoft Shanghai. 1996-,"XuHui, Shanghai, China",31.188637,121.436539
https://collection.rcgs.jp/resource/AGENT0005459,X.D. Network. 2011-,中国上海市静安区万荣路700号A2,31.280854,121.443184
https://collection.rcgs.jp/resource/AGENT0002107,Cinematronics. 1994-1997,"Texas, USA
",31.968599,-99.901813
https://collection.rcgs.jp/resource/AGENT0003411,University of Arizona. 1885-,"Tucson, AZ,  United States",32.222607,-110.974711
https://collection.rcgs.jp/resource/AGENT0004102,Running with Scissors. 1996-,"Tucson, Arizona, U.S.",32.222607,-110.974711
https://collection.rcgs.jp/resource/AGENT0000162,Psyonix. 2000-,"San Diego, California, U.S.",32.715738,-117.161084
https://collection.rcgs.jp/resource/AGENT0001042,SCE San Diego Studio. 2001-2016,"San Diego, California, United States",32.715738,-117.161084
https://collection.rcgs.jp/resource/AGENT0003076,FTL GAMES. 1982-1996,"San Diego, California, California, United　States",32.715738,-117.161084
https://collection.rcgs.jp/resource/AGENT0004016,Midway Studios – Los Angeles. 2004-2008,"San Diego, California, U.S.",32.715738,-117.161084
https://collection.rcgs.jp/resource/AGENT0002800,マックスファイブ. 1990-,熊本市南区平田1-14-8 亀川ビル1F,32.771618,130.693633
https://collection.rcgs.jp/resource/AGENT0000941,"Gathering of Developers, Inc.. 1998-2004","Dallas, Texas, U.S.",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0000985,"Nerve Software, LLC. 2001-","Dallas, Texas, United States",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0002936,"7th LEVEL, Inc.. 1993-1998","Dallas, Texas, USA",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0002962,Ensemble Studios. 1995-2009,"Dallas, Texas, U.S.",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0003938,Ritual Entertainment. 1997-2007,"Dallas, TX, United States",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0004234,MumboJumbo. 2001-,"Dallas, USA",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0004235,MacPlay,"Dallas, Texas, United States",32.776664,-96.796988
https://collection.rcgs.jp/resource/AGENT0001154,アルファ・システム. 1988-,熊本県熊本市中央区南熊本五丁目10-17,32.785194,130.709775
https://collection.rcgs.jp/resource/AGENT0001721,ヨネザワ. 1974-,熊本県熊本市中央区水前寺六丁目1-38,32.787771,130.738158
https://collection.rcgs.jp/resource/AGENT0000893,アクアシステム. 1987-,熊本市水前寺6丁目37-3 松本ビル2F,32.790336,130.745208
https://collection.rcgs.jp/resource/AGENT0002894,日本データワークス株式会社,熊本県熊本市上水前寺1丁目6番54号,32.793933,130.743877
https://collection.rcgs.jp/resource/AGENT0003263,Cinematronics. 1975-1987,"El Cajon, California
",32.794773,-116.962527
https://collection.rcgs.jp/resource/AGENT0002213,キャリーラボ. -1990,熊本県熊本市,32.803216,130.707937
https://collection.rcgs.jp/resource/AGENT0003923,"Apogee Software, Ltd.. 1987-","Garland, TX, United States",32.912624,-96.638883
https://collection.rcgs.jp/resource/AGENT0003914,Paradigm Entertainment. 1997-2008,"Farmers Branch, TX, United States",32.926514,-96.896115
https://collection.rcgs.jp/resource/AGENT0004017,Barking Lizards Technologies. 2001-,"1751 International Pkwy, Richardson, TX, United States",32.970222,-96.709057
https://collection.rcgs.jp/resource/AGENT0003974,Robot Entertainment. 2009-,"Plano, TX, United States",33.019843,-96.698886
https://collection.rcgs.jp/resource/AGENT0002961,"Presto Studios, Inc.. 1991-2002","Encinitas, California, United States",33.036987,-117.291982
